Number,Make,Model,Year,Price,Mileage,Body Type,Cylinders,Transmission,Fuel Type,Color,Location,Description
1,Acura,Rdx,2024,33553.17,231490,SUV,4,Automatic Transmission,Gasoline,Blue, Dubai,"2024 acura rdx with Sunroof, Rear camera. Condition: Engine repaired."
2,Acura,Rdx,2020,24187.95,61814,SUV,4,Automatic Transmission,Gasoline,Blue, Dubai,"2020 acura rdx with Bluetooth, Rear camera, Navigation system, Adaptive cruise control. Condition: Engine repaired."
3,Alfa-Romeo,Giulietta,2009,13421.7,109374,Hatchback,4,Automatic Transmission,Gasoline,Grey, Dubai,"2009 alfa-romeo giulietta with Navigation system, Leather seats, Adaptive cruise control, Rear camera. Condition: Minor scratches."
4,Alfa-Romeo,Giulia,2013,34162.29,123751,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai,"2013 alfa-romeo giulia with Leather seats, Bluetooth, Navigation system. Condition: Engine repaired."
5,Alfa-Romeo,156159,2007,25338.15,233123,Sedan,6,Manual Transmission,Gasoline,Red, Dubai,"2007 alfa-romeo 156159 with Leather seats, Navigation system, Rear camera. Condition: Repainted bumper."
6,Alfa-Romeo,Giulia,2018,65652.39,211925,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2018 alfa-romeo giulia with Navigation system, Adaptive cruise control, Rear camera. Condition: No damage."
7,Alfa-Romeo,Giulia,2008,64925.01,232900,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2008 alfa-romeo giulia with Bluetooth, Sunroof. Condition: Repainted bumper."
8,Alfa-Romeo,Giulia,2012,35750.16,122922,Sedan,4,Automatic Transmission,Gasoline,Blue, Dubai,"2012 alfa-romeo giulia with Leather seats, Navigation system. Condition: Repainted bumper."
9,Alfa-Romeo,Giulia,2017,27102.33,31032,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai,"2017 alfa-romeo giulia with Adaptive cruise control, Leather seats, Rear camera. Condition: Minor scratches."
10,Alfa-Romeo,Giulia,2014,35845.47,146575,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2014 alfa-romeo giulia with Leather seats, Sunroof. Condition: Engine repaired."
11,Alfa-Romeo,Giulietta,2006,25063.29,197062,Hatchback,4,Automatic Transmission,Gasoline,Red, Dubai,"2006 alfa-romeo giulietta with Sunroof, Adaptive cruise control, Navigation system. Condition: Repainted bumper."
12,Alfa-Romeo,156159,2009,19599.84,259265,Sedan,6,Manual Transmission,Gasoline,Red, Dubai,"2009 alfa-romeo 156159 with Leather seats, Navigation system, Sunroof. Condition: Accident history."
13,Alfa-Romeo,Giulietta,2019,24871.32,110078,Hatchback,4,Automatic Transmission,Gasoline,Blue, Dubai,"2019 alfa-romeo giulietta with Bluetooth, Adaptive cruise control, Navigation system, Sunroof. Condition: Accident history."
14,Alfa-Romeo,Giulia,2020,62640.27,246061,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2020 alfa-romeo giulia with Leather seats, Bluetooth, Rear camera, Adaptive cruise control. Condition: Engine repaired."
